#: table_doi: 10.17182/hepdata.155340.v1/t1
#: name: Table III: Cross section in energy range 0.62-1.05 GeV
#: description: Energy bin range ($\sqrt{s'}$), number of events after unfolding ($N_{\mathrm{unf}}$), corrected efficiency ($\varepsilon$), and cross section ($\sigma_{3\pi}$) for $e^{+}e^{-} \to \pi^{+} \pi^{-} \pi^{0}$ in energy range 0.62--1.05~GeV. The two uncertainties in the cross section are the statistical and systematic contributions. The statistical uncertainties for the unfolding and cross section are square roots of the diagonal components of the unfolding covariance matrix. The image shows Figure 23 in the PRD paper, and the points with error bars indicate the cross section in the table.
#: data_file: table_iii:_cross_section_in_energy_range_0.62-1.05_gev.yaml
#: keyword reactions: E+E- --> PI+ PI- PI0
#: keyword phrases: Exclusive | Cross section | E+ E- Scattering
#: keyword cmenergies: 0.62-1.05
#: keyword observables: SIG
$\sqrt{s'}$ [GeV],$\sqrt{s'}$ [GeV] LOW,$\sqrt{s'}$ [GeV] HIGH,The number of events after unfolding ($N_{\mathrm{unf}}$),Statistical uncertainty +,Statistical uncertainty -
0.74375,0.7425,0.745,19.35,2.93,-2.93,1.3,-1.3
0.7462500000000001,0.745,0.7475,14.77,2.66,-2.66,0.47,-0.47
0.74875,0.7475,0.75,20.64,3.76,-3.76,2.35,-2.35
0.75125,0.75,0.7525,21.63,3.17,-3.17,3.16,-3.16
0.7537499999999999,0.7525,0.755,30.1,4.26,-4.26,4.31,-4.31
0.75625,0.755,0.7575,41.39,5.54,-5.54,5.27,-5.27
0.75875,0.7575,0.76,51.12,5.14,-5.14,2.39,-2.39
0.76125,0.76,0.7625,48.88,4.01,-4.01,2.13,-2.13
0.7637499999999999,0.7625,0.765,67.36,5.8,-5.8,1.93,-1.93
0.76625,0.765,0.7675,80.95,5.17,-5.17,2.34,-2.34
0.76875,0.7675,0.77,118.63,6.35,-6.35,11.43,-11.43
0.77125,0.77,0.7725,183.3,8.86,-8.86,4.57,-4.57
0.7737499999999999,0.7725,0.775,290.79,10.98,-10.98,7.94,-7.94
0.77625,0.775,0.7775,480.21,12.35,-12.35,11.41,-11.41
0.77875,0.7775,0.78,938.09,19.25,-19.25,21.37,-21.37
0.78125,0.78,0.7825,1541.6,12.86,-12.86,34.87,-34.87
0.78375,0.7825,0.785,1603.1,19.0,-19.0,36.07,-36.07
0.78625,0.785,0.7875,1007.1,18.93,-18.93,22.62,-22.62
0.7887500000000001,0.7875,0.79,620.45,15.02,-15.02,15.34,-15.34
0.79125,0.79,0.7925,364.9,9.58,-9.58,12.33,-12.33
0.79375,0.7925,0.795,250.54,6.98,-6.98,6.88,-6.88
0.79625,0.795,0.7975,172.52,5.85,-5.85,4.25,-4.25
0.7987500000000001,0.7975,0.8,135.69,5.53,-5.53,3.37,-3.37
0.80125,0.8,0.8025,102.39,7.11,-7.11,4.93,-4.93
0.80375,0.8025,0.805,81.14,6.39,-6.39,4.39,-4.39
0.80625,0.805,0.8075,71.49,3.61,-3.61,2.47,-2.47
0.8087500000000001,0.8075,0.81,59.85,4.96,-4.96,1.62,-1.62
0.81125,0.81,0.8125,52.57,4.13,-4.13,1.62,-1.62
0.81375,0.8125,0.815,45.31,3.65,-3.65,2.38,-2.38
